bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
4,12,3.0,78724,1,4.88,Q3,1,0,1,1,0,384000,442.0,0.1745576279292204
1,1,1.0,78753,1,4.95,Q3,0,0,1,0,0,364000,69.0,0.259904912836767
0,2,1.0,78701,0,4.96,Q3,1,0,0,0,1,727000,143.0,0.4275092936802974
2,2,1.0,78745,1,4.69,Q3,0,1,1,0,0,456000,122.0,0.2989733059548254
0,2,1.0,78744,1,4.98,Q3,1,0,1,1,0,358000,83.0,0.3079252902574457
3,7,2.0,78703,1,4.71,Q3,0,1,1,1,0,1324000,224.0,0.1496792587312901
3,1,2.0,78724,0,4.25,Q3,0,1,1,1,0,384000,199.0,0.0539083557951482
4,4,3.0,78753,1,4.89,Q3,0,0,0,1,0,364000,249.0,0.7
3,5,2.5,78702,1,4.94,Q3,0,1,1,1,1,613000,470.0,0.2232298569933728
2,2,1.0,78702,0,5.0,Q3,0,1,0,1,0,613000,285.0,0.0385604113110539
3,3,2.0,78702,0,5.0,Q3,0,0,1,1,0,613000,599.0,0.0527704485488126
5,6,4.5,78702,1,4.98,Q3,0,1,1,0,0,613000,1100.0,0.175913396481732
1,1,1.0,78702,1,4.78,Q3,0,1,1,1,0,613000,136.0,0.2123142250530785
3,4,2.0,78729,1,4.95,Q3,0,1,1,0,0,457000,246.0,0.053554040895813
2,2,2.0,78741,1,4.73,Q3,1,1,1,1,1,397000,229.0,0.3443708609271523
2,2,2.0,78704,0,5.0,Q3,1,0,1,1,0,802000,359.0,0.0304878048780487
1,1,1.0,78704,1,5.0,Q3,0,0,1,0,0,802000,200.0,0.0975081256771397
1,2,1.0,78704,1,4.98,Q3,0,0,0,1,0,802000,270.0,0.2333588370313695
2,2,1.0,78751,1,5.0,Q3,0,0,1,1,0,636000,190.0,0.1861252115059221
